City,Latitude,Longitude,Vibe,Top_Food,Must_Visit_Spot,Region
香港,22.3193,114.1694,"中西合璧，璀璨夜景與金融中心","點心、燒鵝、奶茶","太平山、維多利亞港",亞洲
曼谷,13.7563,100.5018,"街頭活力，高CP值按摩與佛教文化","冬蔭功、泰式炒粉","大皇宮、鄭王廟",亞洲
東京,35.6895,139.6917,"極致秩序，動漫天堂與潮流聖地","壽司、拉麵、和牛","澀谷、淺草寺",亞洲
巴黎,48.8566,2.3522,"浪漫之都，藝術畫廊與咖啡文化","馬卡龍、油封鴨","艾菲爾鐵塔、羅浮宮",歐洲
倫敦,51.5074,-0.1278,"皇室優雅，歷史博物館與大笨鐘","炸魚薯條、下午茶","大英博物館、倫敦塔橋",歐洲
新加坡,1.3521,103.8198,"花園城市，科技與自然完美結合","海南雞飯、肉骨茶","濱海灣花園、魚尾獅",亞洲
紐約,40.7128,-74.0060,"大蘋果，不夜城，全球文化交匯處","紐約薄餅、芝士蛋糕","時代廣場、中央公園",美洲
杜拜,25.2048,55.2708,"奢華現代，世界第一高樓與沙漠冒險","阿拉伯烤肉、椰棗","哈里發塔、帆船酒店",中東
羅馬,41.9028,12.4964,"永恆之城，古羅馬建築與歷史博物館","培根蛋麵、Gelato","競技場、許願池",歐洲
巴塞隆拿,41.3851,2.1734,"建築奇蹟，地中海陽光與藝術氛圍","海鮮燉飯、Tapas","聖家堂、奎爾公園",歐洲
首爾,37.5665,126.9780,"K-Pop 聖地，美妝購物與現代生活","韓式烤肉、拌飯","景福宮、明洞",亞洲
台北,25.0330,121.5654,"熱情好客，夜市文化與便利生活","牛肉麵、小籠包","101大樓、九份",亞洲
大阪,34.6937,135.5023,"天下之廚房，關西熱情與環球影城","章魚燒、大阪燒","道頓堀、大阪城",亞洲
京都,35.0116,135.7681,"千年古都，和服體驗與禪意寺廟","懷石料理、抹茶","清水寺、伏見稻荷",亞洲
雪梨,-33.8688,151.2093,"海灣之美，戶外生活與標誌性歌劇院","澳洲和牛、海鮮","雪梨歌劇院、邦代海灘",大洋洲
阿姆斯特丹,52.3676,4.9041,"運河之城，自由奔放與博物館之旅","生醃鯡魚、荷蘭煎餅","梵谷博物館、安妮之家",歐洲
威尼斯,45.4408,12.3155,"水上明珠，獨特的貢多拉體驗","墨魚麵、提拉米蘇","聖馬可廣場、大運河",歐洲
布拉格,50.0755,14.4378,"中世紀童話，紅磚瓦與波希米亞風情","烤豬腳、捷克啤酒","查理大橋、布拉格城堡",歐洲
吉隆坡,3.1390,101.6869,"多元民族，雙子塔與森林城市","椰漿飯、沙嗲","雙峰塔、黑風洞",亞洲
維也納,48.2082,16.3738,"音樂之都，古典建築與皇室咖啡館","炸牛排、薩赫蛋糕","美泉宮、國家歌劇院",歐洲
柏林,52.5200,13.4050,"歷史傷痕與次文化融合，前衛藝術基地","咖喱香腸、土耳其旋轉烤肉","布蘭登堡門、柏林圍牆",歐洲
馬德里,40.4168,-3.7038,"熱情的廣場文化，不夜城的夜生活","吉拿棒、馬德里燉菜","普拉多博物館、太陽門廣場",歐洲
里斯本,38.7223,-9.1393,"七丘之城，懷舊電車與絕美花磚","葡式蛋塔、馬介休","貝倫塔、聖喬治城堡",歐洲
雅典,37.9838,23.7275,"西方文明發源地，古希臘神廟遺址","希臘捲餅、穆薩卡","衛城、帕德嫩神廟",歐洲
胡志明市,10.8231,106.6297,"法式殖民風情與現代摩托大軍的碰撞","越南河粉、法式麵包","粉紅教堂、咖啡公寓",亞洲
斯德哥爾摩,59.3293,18.0686,"北歐設計感，散落在島嶼間的水上之都","瑞典肉丸、鯡魚","斯德哥爾摩老城 (Gamla Stan)",歐洲
哥本哈根,55.6761,12.5683,"最幸福的城市，單車友善與新港彩色屋","開放式三明治 (Smørrebrød)","小美人魚像、蒂沃利花園",歐洲
慕尼黑,48.1351,11.5820,"巴伐利亞傳統，啤酒節的狂歡與汽車工業","德國豬腳、慕尼黑白香腸","瑪利亞廣場、寶馬博物館",歐洲
布魯塞爾,50.8503,4.3517,"歐洲心臟，漫畫文化與朱古力的香氣","比利時窩夫、青口配薯條","大廣場、原子球塔",歐洲
蘇黎世,47.3769,8.5417,"湖光山色與金融帝國的結合","起司火鍋、蘇黎世小牛肉","班霍夫大街、蘇黎世湖",歐洲
多倫多,43.6532,-79.3832,"極致多元文化，乾淨現代的北美大都市","肉汁芝士薯條 (Poutine)","CN塔、聖勞倫斯市場",美洲
洛杉磯,34.0522,-118.2437,"電影夢工廠，棕櫚樹與星光大道","美式漢堡、墨西哥塔可","好萊塢標誌、聖莫尼卡海灘",美洲
三藩市,37.7749,-122.4194,"霧鎖金門，陡峭街道與科技矽谷","酸麵包海鮮濃湯","金門大橋、漁人碼頭",美洲
里約熱內盧,-22.9068,-43.1729,"南美狂熱，熱情桑巴與絕美沙灘","巴西烤肉 (Churrasco)","救世基督像、科帕卡巴納海灘",美洲
布宜諾斯艾利斯,-34.6037,-58.3816,"南美巴黎，探戈舞動的優雅與激情","阿根廷牛排、焦糖牛奶醬","五月廣場、博卡區",美洲
墨爾本,-37.8136,144.9631,"澳洲咖啡之都，巷弄塗鴉與藝術氛圍","精品手沖咖啡、澳式早午餐","聯邦廣場、大洋路",大洋洲
奧克蘭,-36.8485,174.7633,"帆船之都，火山地形與毛利文化","綠唇貽貝、毛利傳統窯烤 (Hangi)","天空塔、伊甸山",大洋洲
開普敦,-33.9249,18.4241,"非洲之巔，山海交匯的壯闊景觀","南非乾肉 (Biltong)、野生動物餐","桌山、好望角",非洲
馬拉喀什,31.6295,-7.9811,"北非色彩，迷宮般的古城與異域香料","塔吉鍋、庫斯庫斯","德吉瑪廣場、巴伊亞皇宮",非洲
開羅,30.0444,31.2357,"古文明奇蹟，尼羅河畔的千年史詩","埃及雜燴豆飯 (Koshary)","吉薩金字塔、埃及博物館",非洲
札幌,43.0611,141.3564,"雪祭之都，純淨自然與北國美食","味噌拉麵、成吉思汗烤羊肉","大通公園、白色戀人公園",亞洲(日本)
福岡,33.5902,130.4017,"屋台文化，充滿活力的港口商圈","博多拉麵、明太子","大濠公園、太宰府天滿宮",亞洲(日本)
箱根,35.2324,139.1069,"溫泉之鄉，富士山絕佳觀望點","溫泉饅頭、黑雞蛋","大涌谷、蘆之湖",亞洲(日本)
沖繩,26.2124,127.6809,"琉球風情，湛藍海景與潛水天堂","沖繩苦瓜炒蛋、石垣牛","首里城、美麗海水族館",亞洲(日本)
拉斯維加斯,36.1716,-115.1391,"沙漠賭城，不夜的娛樂與表演殿堂","自助餐(Buffet)、牛排","拉斯維加斯大道、大峽谷(鄰近)",美洲
芝加哥,41.8781,-87.6298,"建築之都，爵士樂與深盤披薩","深盤披薩 (Deep Dish Pizza)","雲門 (The Bean)、海軍碼頭",美洲
邁阿密,25.7617,-80.1918,"拉丁熱情，陽光沙灘與裝飾藝術建築","古巴三明治、石蟹鉗","南沙灘 (South Beach)、小哈瓦那",美洲
西雅圖,47.6062,-122.3321,"咖啡原鄉，雨中的文藝與科技重鎮","派克市場海鮮、咖啡","太空針塔、派克市場",美洲
愛丁堡,55.9533,-3.1883,"古堡傳說，哈利波特的靈感發源地","哈吉斯 (Haggis)、蘇格蘭威士忌","愛丁堡城堡、皇家一英里",歐洲
佛羅倫斯,43.7696,11.2558,"文藝復興搖籃，極致的藝術與皮革工藝","丁骨牛排 (Bistecca)、牛肚包","百花大教堂、烏菲茲美術館",歐洲
尼斯,43.7102,7.2620,"蔚藍海岸，法式度假的優雅縮影","尼斯沙拉、索卡 (Socca)","天使灣、尼斯老城",歐洲
聖托里尼,36.3932,25.4615,"藍白天堂，全球最美的日落觀賞點","烤章魚、希臘沙拉","伊亞小鎮 (Oia)、紅沙灘",歐洲
雷克雅維克,64.1466,-21.9426,"極光之城，外星般的冰火地貌體驗","羊肉湯、龍蝦湯","藍湖溫泉、哈爾格林姆教堂",歐洲
峇里島(庫塔),-8.7171,115.1744,"衝浪天堂，熱帶島嶼的信仰與放鬆","髒鴨飯、烤豬飯","海神廟、烏魯瓦圖",亞洲
